"Sensor Name","Sensor Description","Solution KM Note","Solution for the issue","Issue Summary","Issue Description","Issue Severity","Product to raise SR if help needed","Sr Component","Sr Sub Component","Business Flow","Business Impact","Prod Family","Prod Area"
"JDEFIN_R8903B14I_01","JDE Financial sensor: Integrity Check of  F03B11 to F03B14 Integrity has not been run","2242260.2","The F03B11 to F03B14 Integrity (R8903B14I) can be run in proof or final mode. In proof mode, this report acts as an integrity report by comparing records in the F03B11 table with the F03B14 table and prints differences on a report. The UBE validates the following fields are in balance: -Gross Amount in the F03B11 table. -Open Amount in the F031B11 table. -Payment Amount in the F03B14 table. In final mode, the UBE creates adjusting entries. It is NOT recommended that you run this report in final mode unless you are running a currency conversion. For more details on how to run the report and correct issues please see E1: 03B: How To Run and Research Accounts Receivable Integrity Issues (Doc ID 2242260.2).","Integrity Check of F03B11 to F03B14 Integrity hasn't been run","F03B11 to F03B14 Integrity Check (R8903B14I) hasn't been run during the last week.","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the F03B11 to F03B14 (R8903B14I) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_R8903B22I_01","JDE Financial sensor: Integrity Check of F03B11 to F03B22 Integrity has not been run","2242260.2","The F03B11 to F03B22 Integrity (R8903B22I) UBE compares records in the Customer Ledger (F03B11) to the Fee Journal History Table (F03B22) and prints differences on the report. The report can be run in proof or final mode: In proof mode, this report acts as an integrity report by comparing records in the F03B11 table with the F03B22 table and prints differences on a report. In final mode, the UBE creates adjusting entries. It is NOT recommended that you run this report in final mode unless you are running a currency conversion. For more details on how to run the report and correct issues please see E1: 03B: How To Run and Research Accounts Receivable Integrity Issues (Doc ID 2242260.2).","Integrity Check of F03B11 to F03B22 Integrity hasn't been run","F03B11 to F03B22 Integrity Check (R8903B22I) hasn't been run during the last week.","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the F03B11 to F03B22 (R8903B22I) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEDIST_F42565_01","JDE Distribution sensor: Orphaned Records in F42565 Invoice Workfile","625567.1","The following document states that the Invoice Print File (F42565) records should be removed when batch job R42565 is complete: E1: 42: R42565: Print Invoices UBE FAQ [Video] (Doc ID 1264795.1) ''Question 14: We have a high volume of F42565 records. No versions of Invoice Print (R42565) are running? Can we safely delete these records? Answer 14: Yes. The records can be removed from the table. Invoice print uses the F42565 records during processing and should remove the records from the table when the job is complete.'' To clear orphaned F42565 records, the steps below can be followed: 1. Ensure that there are no versions of Invoice Print (R42565) running. 2. Clear the orphaned F42565 records with a data file utility (note: consider testing this process in a non-production environment first). For more information regarding the Print Invoices batch program (R42565) and the Invoice Print Table (F42565), refer to the following documents: E1: 42: R42565: Print Invoices UBE FAQ [Video] (Doc ID 1264795.1) E1: 42: How Invoice Print Works and How to Recover if it Does Not Complete Successfully (R42565) (Doc ID 625567.1)","Orphaned Records in F42565 Invoice Workfile","Orphaned Records in F42565 Invoice Workfile","3","JD Edwards EnterpriseOne Sales Order Management","SALES",,"JDE Distribution","R42565 Invoice performance and incorrect data printing on invoice","JDE E1 Distribution","JDE E1 Sales"
"JDEFIN_R8903B23I_01","JDE Financial sensor: Integrity Check of F03B22 to F03B23 Integrity has not been run","2242260.2","The F03B22 to F03B23 Integrity (R8903B23I) UBE compares records in the Fee Journal History (F03B22) table to the Fee History Detail (F03B23) table and prints differences on the report. The report can be run in proof or final mode: In proof mode, this report acts as an integrity report by comparing records in the F03B22 table with the F03B23 table and prints differences on a report. In final mode, the UBE creates adjusting entries. It is NOT recommended that you run this report in final mode unless you are running a currency conversion. For more details on how to run the report and correct issues please see E1: 03B: How To Run and Research Accounts Receivable Integrity Issues (Doc ID 2242260.2).","Integrity Check of F03B22 to F03B23 Integrity hasn't been run","F03B22 to F03B23 Integrity Check (R8903B23I) hasn't been run during the last week.","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the F03B22 to F03B23 (R8903B23I) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_R8903B40I_01","JDE Financial sensor: Integrity Check of F03B11 to F03B40 Integrity has not been run","2242260.2","The F03B11 to F03B40 Integrity (R8903B40I) UBE compares records in the Customer Ledger (F03B11) to the Deduction Management table (F03B40) and prints differences on the report. The report can be run in proof or final mode: In proof mode, this report acts as an integrity report by comparing records in the F03B11 table with the F03B40 table and prints differences on a report. In final mode, the UBE creates adjusting entries. It is NOT recommended that you run this report in final mode unless you are running a currency conversion. For more details on how to run the report and correct issues please see E1: 03B: How To Run and Research Accounts Receivable Integrity Issues (Doc ID 2242260.2).","Integrity Check of F03B11 to F03B40 Integrity hasn't been run","F03B11 to F03B40 Integrity (R8903B40I) hasn't been run during the last week.","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the F03B11 to F03B40 (R8903B40I) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_R890911AI_01","JDE Financial sensor: Integrity Check of F03B11 to F0911 Integrity has not been run","2242260.2","The F03B11 to F0911 Integrity (R890911AI) can be run in proof or final mode. In proof mode, this report acts as an integrity report by comparing records in the F03B11 table with the F0911 table and prints differences on a report. The UBE validates the following fields are in balance: -Gross Amount in the F03B11 table -Amount to Distribute in the F03B11 table -Amount in the F0911 table -Automatic Entry Amount in the F0911 table In final mode, the UBE creates adjusting entries. It is NOT recommended that you run this report in final mode unless you are running a currency conversion. For more details on how to run the report and correct issues please see E1: 03B: How To Run and Research Accounts Receivable Integrity Issues (Doc ID 2242260.2).","Integrity Check of F03B11 to F0911 Integrity hasn't been run","F03B11 to F0911 Integrity Check (R890911AI) hasn't been run during the last week.","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the F03B11 to F0911 (R890911AI) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_R890911BI_01","JDE Financial sensor: Integrity Check of AR to GL Receipts by Batch has not been run","2242260.2","The A/R to GL Receipts by Batch (R890911BI) verifies that each batch of posted records in the Receipts Detail table (F03B14) is in balance with the corresponding G/L receipt amounts in the Account Ledger table (F0911), as well as with the automatic entry (AE Record) to the A/R trade account. The AR to GL Receipts by Batch (R890911BI) can be run in proof or final mode. In proof mode, this report acts as an integrity report by comparing records in the F03B14 table with the F0911 table and prints differences on a report. In proof mode, this report is equivalent to the A/R to G/L Receipts by Batch report (R03B702). The UBE validates the following fields are in balance: -Payment Amount in the F03B14 table. -Amount in the F0911 table. -Automatic Entry Amount in the F0911 table. In final mode, the UBE creates adjusting entries. It is NOT recommended that you run this report in final mode unless you are running a currency conversion. NOTE: The A/R to G/L Receipts by Batch (R890911BI) replaces the A/R to G/L Receipts by Batch Integrity (R03B702) from release ERP8.0. In releases subsequent to Xe, the A/R to G/L Receipts by Batch Integrity (R03B702) will no longer be available. For more details on how to run the report and correct issues please see E1: 03B: How To Run and Research Accounts Receivable Integrity Issues (Doc ID 2242260.2).","Integrity Check of AR to GL Receipts by Batch hasn't been run","AR to GL Receipts by Batch Integrity Check (R890911BI) hasn't been run during the last week.","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the AR to GL Receipts by Batch (R890911BI) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_R890911CI_01","JDE Financial sensor: Integrity Check of F03B13 to F0911 Integrity has not been run","2242260.2","The F03B13 to F0911 Integrity (R890911CI) can be run in proof or final mode. In proof mode, this report acts as an integrity report by comparing records in the F03B13 table with the F0911 table and prints differences on a report. The UBE validates the following fields are in balance: -Check Amount in the F03B13 table. -Amount in the F0911 table. -Payment Amount in the F03B14 table. In final mode, the UBE creates adjusting entries. It is NOT recommended that you run this report in final mode unless you are running a currency conversion. For more details on how to run the report and correct issues please see E1: 03B: How To Run and Research Accounts Receivable Integrity Issues (Doc ID 2242260.2).","Integrity Check of F03B13 to F0911 Integrity hasn't been run","F03B13 to F0911 Integrity Check (R890911CI) hasn't been run during the last week.","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the F03B13 to F0911 (R890911CI) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEHCM_F07901","JDE HCM sensor: F07901 Not Current","647676.1","E1: 07: How To Download And Install The Latest F07901 File (Doc ID 647676.1) Access the Update Center and Search on the following to obtain the current F07901 file: Type = JD Edwards EnterpriseOne Release = [Your Applications Release Number] Search for Name = F07901* Check License Agreement Once the file is found, click on the download icon next to the F07901, this will move the Item to the Download Basket. Click on your item in the download basket, then click on Download icon next to the F07901 file again Save the File to the Desktop. Open the Zip File. Highlight the File and extract the file to the desktop. After applying the F07901, please be sure to complete the validation process from the special instructions of each SAR on the ESU. In 8.12 and higher custom records can be marked via a check box in the P07901. A processing option has been added to the R8907901B to determine the handling of the custom records. Review and set this processing option as desired. Instructions on How to Load the F07901 Table 1. (8.12) From a Admin Client, go to E812/PY812 (CRP812, DV812 or PD812) 1. (9.0) From a Admin Client, go to E900/PY900 (CRP900, DV900 or PD900) 1. (9.1) From a Admin Client, go to E910/PY910 (CRP910, DV910 or PD910) 1. (9.2) From a Admin Client, go to E920/PY920 (CRP920, DV920 or PD920) 2. (8.12) Create a new folder named Import (E812/PY812/Import) 2. (9.0) Create a new folder named Import (E900/PY900/Import) 2, (9.1) Create a new folder named Import (E910/PY910/Import) 2. (9.2) Create a new folder named Import (E920/PY920/Import) 3. Copy the F07901a into the import folder. Make sure there is no file extension (Example F07901a.xls-this will not work. It must be F07901a). 4. Backup the current F07901 table (DBA system control file) 5. Go to Batch Versions (BV), and search for the R8907901B. 6. Select the XJDE0001 version. 7. Check checkbox Override Location. 8. Select the row for LOCAL Data Source. THIS PROCESS MUST BE DONE FOR EA","F07901 Not Current","F07901 has not been updated lately","2","JD Edwards EnterpriseOne US Payroll","GEN",,"JDE HCM","This table can be accessed via an application. The is open so that the customer can add their own custom table methods. There is a processing option behind the R8907901B that allows them to keep all of their custom records and only update the records that are delivered by JDE. The ME should perform a record count on the table to ensure it is greater than or equal to 1609. This will not be a static ME as this table can change. (However the change is not too often)","JDE E1 HCM","JDE E1 Payroll"
"JDEHCM_R077011","JDE HCM sensor: Data Integrity monitor and prevention (R077011)","645272.1","You have not run the R077011 (Tax History Integrity Report) lately, please do so at your earliest convenience. E1: 07: Tax History Integrity Report R077011 FAQs (Doc ID 645272.1)","Data Integrity monitor and prevention (R077011)","Data Integrity monitor and prevention (R077011) hasn't been ran lately","3","JD Edwards EnterpriseOne US Payroll","GEN",,"JDE HCM","Integrity reports identify problems and inconsistencies with data in the Tax and PDBA history summary files so they can be resolved to ensure that JD Edwards EnterpriseOne historical payroll data remains correct. Data is these files are used for government reporting (i.e. Quarterly and Year-End reporting).","JDE E1 HCM","JDE E1 Payroll"
"JDEHCM_R75A7703","JDE HCM sensor: Data Integrity monitor and prevention (R75A7703)","662066.1","Refer to E1:75A: Australia Payroll History Audit Report (R75A7703) FAQs (Doc ID 662066.1)","Data Integrity monitor and prevention (R75A7703)","Data Integrity monitor and prevention (R75A7703) hasn't been ran lately","2","JD Edwards EnterpriseOne Australia/New Zealand Payroll","GEN",,"JDE HCM","Integrity reports identify problems and inconsistencies with data in the Tax and PDBA history summary files so they can be resolved to ensure that JD Edwards EnterpriseOne historical payroll data remains correct. Data is these files are used for government reporting (i.e. Quarterly and Year-End reporting).","JDE E1 HCM","JDE E1 Payroll"
"JDEHCM_R75Z7703","JDE HCM sensor: Data Integrity monitor and prevention (R75Z7703)","658829.1","Refer to E1: 75A: Australian and New Zealand Specific Payroll Reports FAQ (Doc ID 658829.1)","Data Integrity monitor and prevention (R75Z7703)","Data Integrity monitor and prevention (R75Z7703) hasn't been ran lately","2","JD Edwards EnterpriseOne Australia/New Zealand Payroll","NZPAY",,"JDE HCM","Integrity reports identify problems and inconsistencies with data in the Tax and PDBA history summary files so they can be resolved to ensure that JD Edwards EnterpriseOne historical payroll data remains correct. Data is these files are used for government reporting (i.e. Quarterly and Year-End reporting).","JDE E1 HCM","JDE E1 Payroll"
"JDEHCM_R777011","JDE HCM sensor: Data Integrity monitor and prevention (R777011)","2107742.1","E1: 07/77: R077021 Does Not Accumulate F0618 and F0719 By The Current Corporate Tax ID (Doc ID 2107742.1)","Data Integrity monitor and prevention (R777011)","Data Integrity monitor and prevention (R777011) hasn't been ran lately","2","JD Edwards EnterpriseOne Canadian Payroll","GEN",,"JDE HCM","Integrity reports identify problems and inconsistencies with data in the Tax and PDBA history summary files so they can be resolved to ensure that JD Edwards EnterpriseOne historical payroll data remains correct. Data is these files are used for government reporting (i.e. Quarterly and Year-End reporting).","JDE E1 HCM","JDE E1 Payroll"
"JDEDIST_F4301_01","JDE Distribution sensor: F4301 - Missing header details","2830272.1","For Purchase Orders with missing header record (F4301), to recreate the header interactively using P4310: From Purchase Order Entry (P4310), do an ADD. 1. Enter the same PO Number, Supplier, Branch, and Dates information. 2. In the PO Details, enter a new dummy line 2.000 eg. Text Line (since detail table F4311 already have line 1.000). 3. Click OK to save the order. 4. Re-inquire on this Purchase Order Number. There will now be 2 detail lines in this order, the original detail 1.000 and the dummy line 2.000. 5. Cancel the dummy line 2.000. The Original Order has been reactivated. For more details, please review the document - E1: 43: Purchase Order Detail (F4311) Records Missing Corresponding Purchase Order Header Record (F4301) (Doc ID 2830272.1)","F4301 - Missing header details","Purchase Order Header information (F4301) missing","2","JD Edwards EnterpriseOne Procurement and Subcontract Management","PROCUR",,"JDE Distribution","This will prevent users to retrieve data about the purchase orders submitted in the system and it will caused Web Exceptions errors in P4310 application","JDE E1 Distribution","JDE E1 Procurement/Subcontract"
"JDEHCM_R77703","JDE HCM sensor: Data Integrity monitor and prevention (R77703)","2557054.1","Refer to E1: 07: R77703 Canadian Payroll History Audit Report (Doc ID 2557054.1)","Data Integrity monitor and prevention (R77703)","Data Integrity monitor and prevention (R77703) hasn't been ran lately","2","JD Edwards EnterpriseOne Canadian Payroll","GEN",,"JDE HCM","Integrity reports identify problems and inconsistencies with data in the Tax and PDBA history summary files so they can be resolved to ensure that JD Edwards EnterpriseOne historical payroll data remains correct. Data is these files are used for government reporting (i.e. Quarterly and Year-End reporting).","JDE E1 HCM","JDE E1 Payroll"
"JDEMFG_F3002_02","JDE Manufacturing sensor: Short Item Number in F3002 not in F4101","639397.1","Typically, this error is caused by bad/corrupt data in Bill of Material table F3002, specifically when the Alias: IXITM (Short Item Number) equals to 0. Go to UTB or Databrowser via fast path and open table F3002. Check for records where IXITM is equal to 0. Since '0' is not a valid value for Short Item Number, this ends up with memory error mentioned above. Also, check also for records in the F3002 with no corresponding record in Item Master F4101 or Item Branch F4102 table. This error will again occur and all ''orphan'' records must be cleaned up. For further information, please check Doc ID 639397.1 - R30601 Troubleshooting Integrity Analysis Report Output and Errors","Short Item Number in F3002 not in F4101","Short Item Number in F3002 does not exist in F4101","3","JD Edwards EnterpriseOne Product Data Management","PROMT",,"JDE Manufacturing","Intregity Analysis will return web exceptions","JDE E1 Manufacturing","JDE E1 Product Data Mgmt"
"JDEMFG_F3002_03","JDE Manufacturing sensor: Short Item Number in F3002 not in F4102","639397.1","Typically, this error is caused by bad/corrupt data in Bill of Material table F3002, specifically when the Alias: IXITM (Short Item Number) equals to 0. Go to UTB or Databrowser via fast path and open table F3002. Check for records where IXITM is equal to 0. Since '0' is not a valid value for Short Item Number, this ends up with memory error mentioned above. Also, check also for records in the F3002 with no corresponding record in Item Master F4101 or Item Branch F4102 table. This error will again occur and all ''orphan'' records must be cleaned up. For further information, please check Doc ID 639397.1 - R30601 Troubleshooting Integrity Analysis Report Output and Errors","Short Item Number in F3002 not in F4102","Short Item Number in F3002 does not exist in F4102","3","JD Edwards EnterpriseOne Product Data Management","PROMT",,"JDE Manufacturing","Intregity Analysis will return web exceptions","JDE E1 Manufacturing","JDE E1 Product Data Mgmt"
"JDEMFG_F3102_01","JDE Manufacturing sensor: Work order records missing UOM in F3102 ","2013972.1","The UOM field is 'Blank' and/or has not been populated with an appropriate value within the Table F3102 (Production Cost) for the related Work Order. Use a data file utility to properly populate the UOM Field in the F3102 table. For further information, please check Doc ID E1: 31: Receiving an Error 'Blanks Invalid' when Trying to Complete a Work Order Using P31114 (Doc ID 2013972.1)","Work order records missing UOM in F3102","Work order records missing UOM in F3102","3","JD Edwards EnterpriseOne Shop Floor Control","MFGNG",,"JDE Manufacturing","Affected work orders can not be modified or completed to stock","JDE E1 Manufacturing","JDE E1 Shop Floor Control"
"JDEMFG_F3111_01","JDE Manufacturing sensor: Corrupt UKID in F3111","2669942.1","To fix the issue, reset the UKID value to a number greater than the last UKID number of the last parts list detail line: 1. From FastPath access the Next Unique Number program P00022 and find the Table Name F3111 - Work Order Parts List. 2. Note the Unique Key Id number for Table Name F3111 (e.g. 700). 3. Go to Databrowser and access the F3111 table and scroll to the bottom to display the highest UKID for the last part list detail record. 4. Note the largest Unique Key Id number in the F3111 table (e.g. 1230). 5. Reset the Next Unique Number in the P00022 for F3111 table to a value equal to the largest Unique Key ID of the last record in F3111 table + 1 (e.g. 1231). 6. Exit EnterpriseOne and reenter. 7. Re-run Work Order Processing (R31410) and validate that the parts list attaches correctly. For more information, refer to the following document: E1: 31: Error ID: 078F - 'Insert to table F3111 failed' Received in Work Order Parts List (P3111) Screen (Doc ID 2669942.1)","Corrupt UKID in F3111","Corrupt UKID in F3111","3","JD Edwards EnterpriseOne Shop Floor Control","SHOOL",,"JDE Manufacturing","Insert to table F3111 fails","JDE E1 Manufacturing","JDE E1 Shop Floor Control"
"JDEMFG_F31122_01","JDE Manufacturing sensor: Corrupt UKID in F31122","2662555.1","The issue can be resolved in the following steps: 1. From FastPath access the Next Unique Number program P00022 and find the Table Name F31122 - Work Order Time Transactions. 2. Note the Unique Key Id number for Table Name F31122 (e.g. 596). 3. Go to Databrowser and access the F31122 table. 4. Inquire on UKID greater than the P00022 Unique Key Id number for Table Name F31122. 5. If records are found, note the largest Unique Key Id number in the table (e.g. 675). 6. Change the Next Unique Number in the P00022 for F31122 table to a value equal to the largest Unique Key Id number in the table + 1 (e.g. 676). For more information, refer to the following document: E1: 31: Error ID: 078F - 'Failed to insert to F31122' Received During Super Backflush (P31123) Transactions (Doc ID 2662555.1)","Corrupt UKID in F31122","Corrupt UKID in F31122","3","JD Edwards EnterpriseOne Shop Floor Control","SHOOL",,"JDE Manufacturing","Insert to table F31122 fails","JDE E1 Manufacturing","JDE E1 Shop Floor Control"
"JDEDIST_F4311Z_01","JDE Distribution sensor: F4301Z F4311Z Purchasing Work files   Z files","2829781.1","To resolve the issue, request the IT department to use SQL to clear the work table. For more details, please review the document - E1: 43: Orphaned Records in the Purchase Order Header Work File (F4301Z) And/Or Purchase Order Generator File (F4311Z) (Doc ID 2829781.1)","F4301Z/F4311Z Purchasing Work files / Z files","Purchasing Work files / Z files are not empty","3","JD Edwards EnterpriseOne Procurement and Subcontract Management","PROCUR",,"JDE Distribution","When orphan data remains in temporary table (F4301Z/F4311Z) this will increase the risk of subsequent INSERT statements to fail. Programs using these tables will stop processing: P4310 - Purchase Orders, P43032 - Purchase Order Generator, P43060 - Order R","JDE E1 Distribution","JDE E1 Procurement/Subcontract"
"JDEDIST_F43121_01","JDE Distribution sensor: Duplicate NLIN in F43121","2725468.1","Kindly please check Doc ID 2725468.1 - Removing a Duplicate Receipt That Has Not Been Vouchered When Errors Prevent Simple Reversal (P4314 / P4312) where the following solution is provided. 1) Confirm that the Receipt is indeed a duplicate. In the F43121 table the fields LNID is the Purchase Order Line Number and NLIN is the Receipt number. These should be in unique pairs for example Purchase Order Line LNID = 1 with Receipts NLIN = 1,2, and 3. The NLIN should never be duplicated for a given LNID (for example Purchase Order LNID = 2, with NLIN = 1, 2, 2, 3). 2) Confirm that the Receipt has not been Voucher Matched. The Receipt may display in Voucher Match but it should not be paid. 3) If the Receipt was for a Stock Item confirm that the Inventory is correct. Inventory may be corrected by a Cycle Count or manual adjustment if needed. 4) If needed create a manual Journal Entry to bring Received Not Vouchered Account to the correct balance. 5) Using a direct database update (SQL) set the F43121 Receipt Record to a Match Type = 5. This Match Type will make the record not display in applications while allowing it to remain in the table for history/audit purposes. For additional information on troubleshooting Receipt Issue please see E1: 43: Reversing / Deleting Vouchers and Receipts in Procurement (P4312 / P43214 / P0411 / P4314 / F43121 / Match Type / MATC) (Doc ID 625543.1)","Duplicate NLIN in F43121","Receipt records having duplicate NLIN in F43121","2","JD Edwards EnterpriseOne Procurement and Subcontract Management","PROCUR",,"JDE Distribution","Unable to perform voucher match for affected Purchase orders","JDE E1 Distribution","JDE E1 Procurement/Subcontract"
"JDEDIST_F47012_01","JDE Distribution sensor: Unpurged successfully processed records on EDI (R47011)","2847196.1","To avoid performance degradation when running EDI Inbound Purchase Order Edit/Create (R47011), perform the steps below: 1. In Fastpath enter G47 (EDI Processing) > Sales Order Transactions > Customer Order > Status Inquiry/Revisions (P47010) 2. On the QBE Line of Work with Inbound EDI Orders, navigate to the Successfully Processed (EDSP) column and enter ''Y'', then click Find. 3. Click on the ''Go to end'' buttom above the grid to display all the records that have already been Successfully Processed. 4. Check the checkbox on the QBE line to select all the records for deletion. 5. Click the Delete button on the Toolbar above the grid. 6. A box pops up stating ''Are you sure that you want to delete the selected item?'' 7. Click the ''OK'' button. 8. The records are deleted and the grid is returned with no Successfully Processed records in it. For more details, please review the document - E1: 47: EDI Detail (F47012) Contains Successfully Processed Records Which Have Not Been Purged (Doc ID 2847196.1)","Unpurged successfully processed records on EDI (R47011)","There are unpurged successfully processed records in F47012","3","JD Edwards EnterpriseOne EDI","EDTION",,"JDE Distribution","When EDI tables are large then performance issues appear","JDE E1 Distribution","JDE E1 Sales"
"JDEDIST_F4941_01","JDE Distribution sensor: F4941 Flags Not Synched","2213279.2","1. Ensure the R4981 is setup to process both billable and payable 2. Set processing option #2 under the Updates tab to 2 (billable and payalbe freight) 3. Run Freight Update (R4981) again. 4. Verify shipment status, FRTV and FRTD values in the F4941 are populated with a value of 1. For more details, please review the following document: E1: 49: Freight Update (R4981) in Transportation (Doc ID 2213279.2) - Common Issue with Freight Update Tab","F4941 Flags Not Synched","FRTD and FRTV Flags of F4941 are not in Sync","2","JD Edwards EnterpriseOne Transportation Management","TRANSP",,"JDE Distribution","This results in rendering the Shipment Status as Open due to which it may impact downstream TMS process like Freight Match.","JDE E1 Distribution","JDE E1 Transportation"
"JDEFIN_CREDLIMIT_01","JDE Financial sensor: CREDLIMIT Workflow - unprocessed activity instances","2827985.1","Refer to E1: 03B: Unprocessed activity instances in the Process Task Monitor table (F98860) prevent new Credit Limit messages from being sent (Doc ID 2827985.1)","CREDLIMIT Workflow - unprocessed activity instances","There are unprocessed activity instances in the Process Task Monitor table (F98860) which prevent new Credit Limit messages from being sent","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Check for unprocessed activity instances in the Process Task Monitor table (F98860) which prevent new Credit Limit messages from being sent.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_EXPROUTING_01","JDE Financial sensor: EXPROUTING Workflow - unprocessed activity instances","626602.1","To resolve the issue, follow the steps below: 1. Backup the data in tables: Process Instance (F98860) and Activity Instance (F98865) 2. Run the Purge Completed Processes (R98860P) UBE to remove the unprocessed instances with the following Data Selection: - Process Name: EXPROUTING - Process Status: 04, 05, 06 - Any additional filter as require by business (e.g. Start Date) NOTE: Verify the Expense Management reports corresponding to these processes to see if their Expense Report Status needs to be updated manually For more details, please review the document - E1: WRKFLW: Procedures to Purge Workflow Instances (Doc ID 626602.1)","EXPROUTING Workflow - unprocessed activity instances","There are unprocessed activity instances in the Process Task Monitor table (F98860) which prevent new Expense Management messages from being sent.","2","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Check for unprocessed activity instances in the Process Task Monitor table (F98860) which prevent new Expense Management messages from being sent.","JDE E1 Financials","JDE E1 General Accounting"
"JDEDIST_F00095_01","JDE Distribution sensor: Orphaned Records F00095","2829477.1","Fast Path to application P00095 to bring up the Remove Business Object Reservation (P00095) application. This application can be used to release reservations on objects. Once the screen is displayed, click Find. All orders that are currently reserved will be displayed, along with the Application and the User ID. The Generic Key is generated using the Order Number, Document Type and Company. Make sure that the User that is shown is not actively accessing the Order before releasing the reservation. To release the Reservation, highlight the row and click Delete. That will remove the Reservation and allow users to access this order again. For more details, please review the document - E1: 40: Orphaned Records in the Record Reservations (F00095) Table (Doc ID 2829477.1)","Orphaned Records F00095","There are orphaned Records in Business Object Reservation (F00095)","3","JD Edwards EnterpriseOne Inventory Foundation","INVENT",,"JDE Distribution","Can prevent users from accessing certain orders (SO,OP, WO etc), or can cause certain applications to not allow entering new orders (in very specific scenarios with multiple triggers happening together).","JDE E1 Distribution","JDE E1 Inventory"
"JDEFIN_F00092_01","JDE Financial sensor: Corrupt non-existent Unique Next Number for F00092","2830503.1","Go to P00022, query for table F0030, then change the Unique Key ID to a value that is greater than the greatest UKID value identified in F0030 then Save the change. See document E1: FIN: Overview and Frequently Asked Questions of Unique Next Numbers (P00022) in JD Edwards EnterpriseOne Financial Management (Doc ID 2830503.1).","Corrupt/non-existent Unique Next Number for F00092","There are corrupted or non-existent Unique Next Number in F00092","2","JD Edwards EnterpriseOne Address Book","ADDRESS",,"JDE Financial","Verify that the Unique Key in the F00022 table is higher than the highest Unique Key value written in the Supplemental Data table (F00092) to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Address Book"
"JDEFIN_F00092_02","JDE Financial sensor: Unique Key field blank in table F00092","2830091.1","The unique key field in the Supplemental Database (F00092) Unique Key ID (UKID) should not be zero or blank to prevent errors when adding, changing, or deleting a record. For details on how to identify and fix such issues please see E1: 01: Validate the Unique Key Field in the Supplemental Data Table (F00092) is Populated with a Valid Value for All Records to Prevent Errors (Doc ID 2830091.1)","Unique Key field blank in table F00092","Unique Key field blank in F00092 table","4","JD Edwards EnterpriseOne Address Book","ADDRESS",,"JDE Financial","Validate that the unique key field in the Supplemental Database is populated with a valid value for all records to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Address Book"
"JDEFIN_F0011_01","JDE Financial sensor: Number of not posted batches older than 2 month","664682.1","Verify P0901 records are valid for those appearing as invalid for the P0012 AAI's","Number of not posted batches older than 2 month","Accounts associated with AAIs do not exist in the Account Master","2","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Verify that all accounts associated with an AAI (P0012) exist in the Account Master (F0901) to ensure data integrity.","JDE E1 Financials","JDE E1 General Accounting"
"JDEFIN_F0011_F0411_HEADER","JDE Financial sensor: Voucher transactions with missing Batch Header (F0011) records","2818951.1","Follow instructions in Doc ID 2818951.1 E1: FIN: How to Resolve Missing Batch Header Integrity","Voucher transactions with missing Batch Header (F0011) records","Found one or more transactions in Accounts Payable Ledger (F0411 table) missing a Batch Header record in Batch Headers (F0011 table) .","2","JD Edwards EnterpriseOne Accounts Payable","EDIDI",,"JDE Financial","Check for Voucher transactions with missing Batch Header (F0011) records","JDE E1 Financials","JDE E1 Accounts Payable"
